"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Datei ""%s"" kann nicht gespeichert werden. Bitte stelle sicher, dass das Verzeichnis ""%s"" vom Webserver beschreibbar ist."
"Please create the specified folder ""%s"" before saving the sitemap.","Bitte lege den Ordner ""%s"" an, bevor Sie die Sitemap speichern."
"Please define correct path","Bitte gib den korrekten Pfad an"
"Please make sure that ""%s"" is writable by web-server.","Bitte stelle sicher, dass ""%s"" vom Webserver geschrieben werden kann."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Bitte verwende nur die Zeichen (a-z oder A-Z), Ziffern (0-9) oder den Unterstrich (_) in Dateinamen. Andere Zeichen (auch Leerzeichen) sind nicht erlaubt."
