"Are you sure you want to delete the selected backup(s)?","Bist du sicher, dass du die ausgewählten Sicherungen löschen möchtest?"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Bitte wähle entweder die Option ""Shop in den Wartungsmodus versetzen"" ab oder passe deine Berechtigung an, um mit dem Backup fortzufahren."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Bitte wähle entweder die Option ""Shop in den Wartungsmodus versetzen"" ab oder passe deine Berechtigung an, um mit der Wiederherstellung fortzufahren."
"Unable to create backup. Please, try again later.","Fehler beim Erstellen der Sicherung. Bitte versuche es später nocheinmal."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Du hast keine ausreichende Berechtigung um den Wartungsmodus zu aktivieren."
