"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Höchstgewicht pro Sendung (Bitte erfragen Sie diese Angabe bei deinem Versanddienstleister)"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimales Verpackungs-Gewicht (Bitte fragen Sie bei deinem Versandpartner nach dem kleinsmöglichen Gewicht für eine Sendung)"
"Please make sure to use only digits here. No dashes are allowed.","Bitte achte darauf, hier nur Ziffern zu verwenden. Bindstriche oder Leerzeichen sind nicht erlaubt"
"Please, specify origin country","Bitte gib das Ursprungsland an"
"Your Packaging","Deine Verpackung"
