"Add Your Tags:","Füge deine Schlagworte hinzu:"
"Are you sure you want to delete this tag?","Bist du sicher, dass Sie dieses Schlagwort löschen wollen?"
"Are you sure you want to do this?","Bist du sicher, dass du das tun möchtest?"
"Are you sure?","Bist du sicher?"
"Click on a tag to view your corresponding products.","Klicke auf ein Schlagwort, um übereinstimmende Artikel zu finden."
"Unable to remove tag. Please, try again later.","Entfernen des Schlagwortes nicht möglich. Bitte versuche es später noch einmal."
"Use spaces to separate tags. Use single quotes (') for phrases.","verwende Leerzeichen um Schlagworte zu trennen. Verwende das Hochkomma (') für zusammenhängende Textabschnitte."
"You have not tagged any products yet.","Du hast bisher noch keine Artikel mit Schlagworten versehen."
