"%s Index process is working now. Please try run this process later.","Indizierung für %s dauert an. Bitte versuche diesen Prozess später noch einmal zu starten."
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Klicke hier um zur <a href=""%s"">Cache-Verwaltung</a> zu gelangen und aktualisiere die betroffenen Caches."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klicke hier um zur <a href=""%s"">Index-Verwaltung</a> zu gelangen und baue die betroffenen Indizes neu auf."
