"File does not contain data. Please upload another one","Datei enthält keine Daten. Bitte lade eine andere Datei hoch"
"File is totally invalid. Please fix errors and re-upload file","Datei ist komplett ungültig. Bitte behebe die Fehler und lade die Datei noch einmal hoch"
"File is valid! To start import process press ""Import"" button","Datei ist gültig! Um den Import zu starten, klicke auf ""Import"""
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Bitte behebe die aufgeführten Fehler oder klicke auf ""Import"", um den Import ohne die fehlerhaften Datensätze durchzuführen"
