"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Wenn du in unserem Shop ein Benutzerkonto einrichtest, wirst du schneller durch den Bestellvorgang geführt, kannst mehrere Versandadressen speichern, deinen bisherigen Bestellablauf verfolgen und vieles mehr."
"Easy access to your order history and status","Einfacher Zugriff auf deine bisherigen Bestellungen und deren Status"
"If you have an account with us, please log in.","Wenn du bei uns ein Benutzerkonto besitzt, melde dich bitte an."
"Please log in below:","Bitte melde dich hier an:"
"Please select region, state or province","Bitte wähle Region, Land oder Bundesland"
"Register to Create an Account","Registriere dich, um dein Benutzerkonto anzulegen"
"Register with us for future convenience:","Registriere dich für mehr Komfort bei deinem nächsten Besuch:"
"Select a billing address from your address book or enter a new address.","Wähle eine Rechnungsadresse aus deinem Adressbuch oder lege eine neue Adresse an."
"To proceed to Checkout, please log in using your email address.","Bitte melde dich mit deiner eMailadresse an, um den Bestellvorgang abzuschließen."
