"Go to <a href=""%s"">My Downloadable Products</a>","Gehe zu <a href=""%s"">Meine Downloadartikel</a>"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Bitte melde dich an, um deine(n) Downloadartikel herunterzuladen oder kaufe <a href=""%s"">%s</a>."
"Please log in to download your product.","Bitte melde dich an, um deine(n) Downloadartikel herunterzuladen."
"Please set resource file and link type.","Bitte lege die Datei und Linkart fest."
"See price before order confirmation.","Bitte achte vor der Bestellbestätigung auf den Preis."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Es wurden Dateien zum Hochladen ausgewählt, jedoch noch nicht hochgeladen. Bitte lade diese hoch oder entferne sie."
"You have not purchased any downloadable products yet.","Du hast noch keine Downloadartikel gekauft."
