"* Select shipping method","* Wähle eine Versandart"
"Enable this if your checkout request is too big and being cut off.","Aktiviere diese Option, wenn deine Anfrage zu lang ist und abgeschnitten wird."
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Wenn diese Option aktiviert ist, werden die Warekorbdaten nach dem Klick auf den GoogleCheckout Button versteckt und nur wiederhergestellt, wenn du auf Warenkorb bearbeiten"" klickst."""
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Erforderlich für Live Google Checkout Transaktionen. Stelle bitte sicher, dass diese Einstellung zu ""Verwende sichere URL im Shop"" (""Web"" > ""Sicherheit"") passt."
"You will be redirected to GoogleCheckout in a few seconds.","Du wirst in wenigen Sekunden zu GoogleCheckout weitergeleitet."
