"Are you sure?","Bist du sicher?"
"Please, select Attribute Set and Google Item Type to load attributes","Bitte wähle ein Attributset und einen GMC Artikeltyp zum Laden der Attribute"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Sitzung während des Exports abgelaufen. Bitte prüfe die exportierten Artikel und wiederhole den Vorgang falls nötig."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Fehler bei der Verbindung zu Google Merchant Center. Bitte prüfe die Zugangsdaten in der Systemkonfiguration."
