"Are you sure you want to do this?","Bist du sicher, dass du das tun möchtest?"
"You cannot delete this tax class as it is used for %d customer groups.","Du kannst diese Steuerklasse nicht löschen, da sie noch für %s Kundengruppe(n) verwendet wird."
"You cannot delete this tax class as it is used for %d products.","Du kannst diese Steuerklasse nicht löschen, da sie noch für %s Artikel verwendet wird."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Du kannst diese Steuerklasse nicht löschen, da sie noch in einer Regel verwendet wird. Bitte lösche diese Regeln zuerst."
