"File has not been imported. See the following list of errors: %s","Datei wurde nicht importiert. Bitte beachte die folgende Liste mit Fehlern: %s"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Diese Versandart ist momentan nicht verfügbar. Wenn Sie dennoch diese Versandart wünschen, wenden Sie sich bitte direkt an uns."
"This shipping method is not available, please specify ZIP-code","Diese Versandart ist nicht verfügbar, bitte gib eine Postleitzahl an"
"contact us","Kontaktiere uns"
"email us at ","Schicken Sie uns eine E-Mail an "
