"Please enter a valid number in ""max_sale_qty"" field","Bitte gib eine gültige Nummer in ""max_sale_qty"" ein."
"Please enter a valid number in ""min_qty"" field","Bitte gib eine gültige Nummer in ""min_qty"" ein."
"Please enter a valid number in ""min_sale_qty"" field","Bitte gib eine gültige Nummer in ""min_sale_qty"" ein."
"Please enter a valid number in ""notify_stock_qty"" field","Bitte gib eine gültige Nummer in ""notify_stock_qty"" ein."
"Please use numbers only in ""category_id"" field.","Bitte verwende nur Ziffern im ""category_id"" Feld."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Bitte verwende nur Ziffern im ""qty_increments"" Feld, vermeide Leerzeichen oder andere Zeichen außer Punkt oder Komma."
